papel,segmento,cotacao,ffo_yield,dividend_yield,p_vp,valor_mercado,liquidez,qtd_imovel,preco_m2,aluguel_m2,cap_rate,vacancia_media
BLMG11,Outros,41.26,18.12,18.79,0.49,157225000.0,658204.0,1,208.06,33.57,16.13,0.0
BLMO11,Lajes Corporativas,89.99,1035.65,4.43,0.0,341692.0,198554.0,1,43.85,693.02,1580.57,0.0
BLMR11,Títulos e Val. Mob.,6.83,10.38,9.25,0.9,174449000.0,594314.0,0,0.0,0.0,0.0,0.0
BLUR11,Títulos e Val. Mob.,98.49,5.63,11.1,1.1,8864100.0,1485.0,0,0.0,0.0,0.0,0.0
BMLC11,Híbrido,107.0,8.47,10.5,0.96,106829000.0,275214.0,2,12274.9,1273.5,10.37,0.0
BNFS11,Outros,120.51,14.65,13.17,1.31,84357000.0,159572.0,18,7780.47,1361.11,17.49,0.0
BPFF11,Títulos e Val. Mob.,71.09,18.19,9.87,0.93,319359000.0,259529.0,0,0.0,0.0,0.0,0.0
BPML11,Híbrido,96.0,3.53,0.56,0.72,413288000.0,395396.0,4,4055200.0,726071.01,17.9,6.29
BPRP11,Outros,108.99,10.04,9.35,0.99,147119000.0,2611.0,1,6316.15,667.41,10.57,0.0
BRCO11,Logística,125.0,6.71,7.79,1.04,1847350000.0,3452560.0,10,3883.32,374.15,9.63,0.0
BRCR11,Híbrido,60.5,9.27,8.35,0.61,1611610000.0,2426810.0,9,10834.1,1257.63,11.61,6.2
BREV11,Híbrido,105.0,6.59,4.93,0.0,101556000.0,0.0,13,0.0,1437.55,0.0,0.0
BRIM11,Residencial,1014.0,15.41,17.17,0.95,125875000.0,5139.0,0,0.0,0.0,0.0,0.0
BRIP11,Híbrido,1000.0,11.07,24.15,0.88,215475000.0,73.0,1,6089.16,0.0,0.0,0.0
BRLA11,Outros,143.0,7.17,8.88,0.9,499709000.0,57212.0,8,1479.34,110.02,7.44,0.0
BROF11,Híbrido,58.0,6.39,7.65,0.54,673427000.0,2020150.0,2,7261.57,547.24,7.54,4.87
BTAL11,Outros,76.95,10.06,11.15,0.73,460372000.0,1076230.0,9,1417.59,167.71,11.83,0.0
BTCI11,Títulos e Val. Mob.,10.0,17.18,11.4,0.98,995212000.0,2217770.0,0,0.0,0.0,0.0,0.0
BTCR11,Títulos e Val. Mob.,88.0,12.48,0.0,0.92,423289000.0,0.0,0,0.0,0.0,0.0,0.0
BTHI11,Hotel,44.5,9.76,3.69,1.04,410224000.0,45297.0,12,1143.14,141.26,12.36,0.0
BTLG11,Híbrido,103.89,5.7,8.22,1.05,2960100000.0,7597810.0,20,4296.64,304.94,7.1,4.4
BTRA11,Outros,61.76,18.15,13.03,0.49,207795000.0,455953.0,5,4.39,0.81,18.44,0.04
BTSG11,Logística,139.0,11.43,7.38,0.96,107727000.0,7237.0,1,5712.28,711.62,12.46,0.0
BTSI11,Híbrido,97.5,5.2,3.72,0.85,236906000.0,7.0,2,1096.42,77.65,7.08,6.5
BTWR11,Lajes Corporativas,109.4,5.66,5.87,0.98,88534100.0,13.0,1,4471.2,379.65,8.49,0.0
BVAR11,Outros,0.21,31790.95,191.33,0.0,131363.0,0.0,50,1.12,400.24,35724.47,31.85
CACR11,Títulos e Val. Mob.,102.05,4.45,15.57,1.01,390215000.0,1543630.0,0,0.0,0.0,0.0,0.0
CARE11,Híbrido,1.39,-7.34,0.0,0.17,49720200.0,16313.0,1,0.0,0.0,0.0,0.0
CBOP11,Lajes Corporativas,30.18,3.79,4.66,0.41,42704700.0,11643.0,1,2622.01,320.78,12.23,46.53
CCME11,Outros,107.21,5.15,9.27,1.04,586715000.0,7876.0,2,7880.81,280.5,3.56,56.01
CCRF11,Títulos e Val. Mob.,92.5,7.16,8.27,0.95,145401000.0,309.0,0,0.0,0.0,0.0,0.0
CEOC11,Lajes Corporativas,47.49,14.43,13.43,0.61,86227400.0,55860.0,1,5400.64,920.52,17.04,0.0
CFHI11,Outros,610.0,-3.41,0.6,0.98,57706000.0,129439.0,3,4551.86,0.0,0.0,0.0
CJCT11,Lajes Corporativas,69.01,2.53,1.96,1.04,216691000.0,44610.0,1,10856.3,623.48,5.74,51.48
CLIN11,Títulos e Val. Mob.,97.99,0.25,2.18,0.97,425939000.0,496547.0,0,0.0,0.0,0.0,0.0
CNES11,Lajes Corporativas,22.6,5.2,4.75,0.25,66653000.0,7391.0,1,965721.0,179345.52,18.57,55.01
COPP11,Híbrido,103.0,1.59,0.72,0.98,171298000.0,440268.0,3,7367.57,112.41,1.53,19.22
CORM11,Híbrido,81.0,5.53,0.0,0.95,82402600.0,0.0,3,7497.45,751.13,10.02,0.0
CPFF11,Títulos e Val. Mob.,75.1,6.38,8.6,0.91,191736000.0,425028.0,0,0.0,0.0,0.0,0.0
CPSH11,Shoppings,110.82,1.82,5.28,0.98,370139000.0,2848660.0,1,8866.56,155.02,1.75,0.0
CPTR11,Títulos e Val. Mob.,9.2,14.39,15.13,0.94,380697000.0,1462580.0,0,0.0,0.0,0.0,0.0
CPTS11,Títulos e Val. Mob.,8.56,5.12,10.67,0.95,2720610000.0,6579270.0,0,0.0,0.0,0.0,0.0
CRAA11,Títulos e Val. Mob.,100.0,6.45,11.74,0.99,49483600.0,124578.0,0,0.0,0.0,0.0,0.0
CRFF11,Títulos e Val. Mob.,76.68,9.56,10.02,0.87,52912300.0,129083.0,0,0.0,0.0,0.0,0.0
CTXT11,Lajes Corporativas,11.6,-18.49,0.0,0.37,39534800.0,2279.0,1,852.75,5.36,0.63,98.86
CVBI11,Títulos e Val. Mob.,93.34,12.2,11.46,0.97,1027690000.0,2561620.0,0,0.0,0.0,0.0,0.0
CXAG11,Outros,82.1,10.97,10.22,0.71,171640000.0,144484.0,32,2957.28,359.46,12.15,0.0
CXCE11B,Lajes Corporativas,44.02,11.82,10.48,0.68,75404100.0,23281.0,1,3578.42,451.59,12.62,0.0
CXCI11,Títulos e Val. Mob.,86.16,3.67,10.98,0.92,177294000.0,159162.0,0,0.0,0.0,0.0,0.0
CXCO11,Lajes Corporativas,80.35,11.46,10.97,0.81,315334000.0,165928.0,10,3390.24,407.15,12.01,0.0
CXRI11,Títulos e Val. Mob.,80.0,8.91,8.81,0.89,126061000.0,26627.0,0,0.0,0.0,0.0,0.0
CXTL11,Logística,238.12,8.3,36.45,0.57,12762500.0,13825.0,1,1703.48,325.38,19.1,0.0
DAMT11B,Híbrido,12.71,8.54,7.43,0.97,92850900.0,9772.0,1,1450.84,102.89,7.09,15.61
DCRA11,Títulos e Val. Mob.,9.15,15.49,14.38,0.95,61661000.0,216086.0,0,0.0,0.0,0.0,0.0
DEVA11,Títulos e Val. Mob.,43.9,16.79,17.38,0.45,616571000.0,1930050.0,0,0.0,0.0,0.0,0.0
DMAC11,Residencial,13.0,-758.5,0.0,2.61,2029400.0,0.0,0,0.0,0.0,0.0,0.0
DOMC11,Híbrido,439.0,0.52,0.0,4.42,1072830000.0,0.0,2,25651.7,271.46,1.06,21.58
DOVL11B,Lajes Corporativas,1200.69,5.88,8.25,1.01,79733000.0,0.0,2,4534.08,629.85,13.89,29.5
DPRO11,Híbrido,7.98,9.41,11.02,0.85,39925700.0,14522.0,1,2328.83,235.49,10.11,0.0
DRIT11,Lajes Corporativas,86.99,7.22,7.68,0.66,40300500.0,376.0,4,7945.15,935.89,11.78,9.44
DVFF11,Híbrido,8.28,6.27,10.23,0.89,91158700.0,110988.0,0,0.0,0.0,0.0,0.0
EDFO11,Lajes Corporativas,194.01,10.61,10.31,1.07,45786400.0,2498.0,1,128471.0,14933.01,11.62,0.0
EDGA11,Lajes Corporativas,21.42,6.49,5.22,0.35,81654200.0,22422.0,1,3244.14,313.28,9.66,28.91
EGAF11,Títulos e Val. Mob.,99.15,8.97,17.37,1.0,187287000.0,1041550.0,0,0.0,0.0,0.0,0.0
ELDO11B,Shoppings,1104.31,9.54,9.6,0.77,869375000.0,0.0,1,11421.1,1275.31,11.17,1.64
EQIN11,Títulos e Val. Mob.,93.5,10.8,0.0,1.03,158757000.0,0.0,0,0.0,0.0,0.0,0.0
EQIR11,Títulos e Val. Mob.,9.75,8.03,12.57,0.98,65095200.0,88015.0,0,0.0,0.0,0.0,0.0
ERCR11,Híbrido,76000.0,-3.54,0.0,1.52,180576000.0,0.0,0,0.0,0.0,0.0,0.0
ERPA11,Lajes Corporativas,119.9,6.98,6.84,0.87,60060500.0,8503.0,1,17772.5,1420.55,7.99,0.0
EURO11,Logística,250.98,9.3,8.47,0.77,96360300.0,56115.0,7,814.25,83.42,10.25,0.0
